cues,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,p_46,p_47,p_48,p_49,p_50,p_51,p_52,p_53,p_54,p_55,p_56,p_57,p_58,p_59,p_60,p_61,p_62,p_63,p_64,p_65,p_66,p_67,p_68,p_69,p_70,p_71,p_72,p_73,p_74,p_75,p_76,p_77,p_78,p_79,p_80,p_81,p_82,p_83,p_84,p_85,p_86,p_87,p_88,p_89,p_90,p_91,p_92,p_93,p_94,p_95,p_96,p_97,p_98,p_99,p_100
machine,processeur,machinerie,ordinateur,fonctionner,automate,machine-outil,servomoteur,machinerie,microprocesseur,ordinateur,machine-outil,machine-outil,calculateur,ordinateur,mécanique,fabrication,machine-outil,microprocesseur,machine-outil,procédé,calculateur,calculateur,machinerie,microprocesseur,rotatif,ordinateur,ordinateur,machinerie,ordinateur,microprocesseur,fabriquer,ordinateur,calculateur,machine-outil,automate,machinerie,microprocesseur,calculateur,émuler,composant,mécanique,machine-outil,cylindre,émuler,rotatif,assemblage,calculateur,ordinateur,fabriquer,automate,machine-outil,rotatif,automate,matériel,machinerie,calculateur,microprocesseur,microprocesseur,appareil,calculateur,machinerie,ordinateur,composant,rotatif,prototype,machine-outil,machinerie,machine-outil,machinerie,microprocesseur,machinerie,machine-outil,fonctionner,fabriquer,microprocesseur,machine-outil,calculateur,cylindre,engin,émuler,ordinateur,microprocesseur,machine-outil,ordinateur,machinerie,mini-ordinateur,fonctionner,automatisation,calculateur,mini-ordinateur,ordinateur,automate,automate,mécanique,ordinateur,cylindre,ordinateur,calculateur,calculateur,microprocesseur
machine,calculateur,rouage,émuler,imprimante,processeur,outilleur,inverseur,machinerie,microprocesseur,logiciel,outillage,usinage,capteur,connexion,conception,usine,fabrication,système,assemblage,vapeur,système,calculateur,rouage,miniaturiser,enregistreur,fichier,logiciel,machinerie,ordinateur,programmable,industrie,fonctionnalité,calculateur,usinage,logiciel,rouage,multitâche,composant,réinitialisation,implémentation,fabrication,assemblage,cylindre,configuration,rotatif,analyseur,utilisateur,logiciel,fabrication,composant,composant,cylindre,automatisation,fonctionnement,rotatif,superordinateur,capteur,automatisation,boîtier,mini-ordinateur,composant,scanner,équiper,poulie,spécificité,machine-outil,système,outillage,actionner,assembleur,mécanisation,usiner,graphique,produire,bit,matériel,mini-ordinateur,tube,véhicule,mini-ordinateur,utiliser,commutation,formage,supercalculateur,rouage,logiciel,interface,performant,machine-outil,superordinateur,logiciel,donnée,programmable,électrique,logiciel,filtre,serveur,calculateur,automate,gestion
rapport,enquête,recommandation,conclusion,commission,commission,synthèse,recommandation,commission,conclusion,commission,examiner,commission,rapporteur,conclusion,commission,analyse,commission,commission,commission,examiner,examiner,commission,conclusion,recommandation,recommandation,synthèse,conclusion,examiner,conclusion,synthèse,commission,examiner,proposition,synthèse,synthèse,proposition,synthèse,préconisation,enquête,enquête,commission,conclusion,synthèse,recommandation,évaluation,préconisation,examiner,conclusion,examiner,examiner,examiner,rapporteur,établir,proposition,synthèse,conclusion,examiner,rapporteur,proposition,examiner,conclusion,rapporteur,évaluation,sénat,examiner,examiner,examiner,commission,synthèse,proposition,recommandation,commission,formuler,examiner,commission,examiner,conclusion,établir,réflexion,relative,conclusion,proposition,recommandation,examiner,commission,commission,synthèse,audition,prospectif,proposition,commission,conclusion,proposition,proposition,synthèse,sénat,conclusion,document,rapporteur,synthèse
rapport,qualitatif,consultatif,formuler,sénateur,présider,évaluation,définir,examiner,conclusion,conseil,auditionner,parlement,assemblée,présider,amendement,méthodologie,rapporteur,réexaminer,conseil,commission,préciser,commission,décision,préconiser,condition,théorique,commission,parlement,proposition,problématique,conseil,concertation,parlementaire,élaborer,évaluation,questionnement,connaissance,préconisation,conceptuel,enquêteur,conseil,rapporteur,définition,sous-commission,bilan,réflexion,adopter,proposition,sénat,évaluation,sénat,approuver,définition,décision,méthodologique,conclusion,proposition,examiner,parlement,auditionner,problématique,concerner,évaluation,ministre,élaboration,établir,établir,conseil,méthodologie,réexaminer,méthodologique,examiner,instance,établir,commission,comité,conclusion,document,débat,application,examiner,proposition,viser,commission,conseil,présider,réflexion,auditionner,prospective,décision,siéger,approfondir,député,conclusion,analyser,député,formuler,annexe,auditionner,élaboration
genre,amusant,avouer,truc,débile,débile,truc,bref,avouer,avouer,sous-genre,ridicule,sous-genre,ridicule,truc,rigolo,pareil,avouer,bref,sous-genre,film,ridicule,truc,avouer,avouer,chose,avouer,avouer,ridicule,sous-genre,ridicule,surtout,avouer,truc,avouer,chose,débile,débile,truc,marrant,avouer,truc,truc,jouissif,ressembler,vrai,vulgaire,drôle,truc,vrai,rigolo,ridicule,sous-genre,ridicule,chose,avouer,ridicule,avouer,bref,vrai,débile,gnangnan,fantastique,surtout,drôle,drôle,rigolo,débile,avouer,truc,avouer,sous-genre,truc,truc,ridicule,ridicule,débile,débile,surtout,film,débile,surtout,vrai,avouer,gnangnan,débile,truc,rigolo,vrai,pareil,débile,sous-genre,avouer,bref,rigolo,avouer,chose,truc,débile,débile,vrai
genre,ennuyer,juste,rigolo,déconner,rien,marrer,finir,avouer,avouer,science-fiction,vrai,récit,pathétique,rigoler,amuser,voir,rien,dire,narration,scène,moquer,génial,vouloir,faire,bizarre,vouloir,avouer,avouer,science-fiction,dire,faire,dire,avouer,vouloir,chose,plaisanter,stupide,merde,con,avouer,ben,rigolo,jouissif,ressembler,penser,vulgaire,avouer,rigoler,pareil,foutre,idiot,pochade,ridicule,croire,rien,ridicule,pareil,parler,vrai,débile,drôle,film,vrai,rigolo,essayer,rigolo,stupide,dire,rigoler,vouloir,classique,rigolo,déconner,foutre,minable,stupide,rien,gens,héros,connerie,surtout,faire,juste,loufoque,emmerder,chier,rigolo,avouer,connerie,pareil,narration,avouer,juste,amuser,dire,douter,rigoler,débile,chier,avoir
jardin,château,fleurir,terrasse,roseraie,maison,potager,potager,potager,jardinier,potager,potager,potager,verdure,potager,verdure,piscine,potager,terrasse,jardinier,musée,terrasse,verdure,potager,potager,allée,terrasse,maison,jardinier,jardinier,terrasse,parc,verdure,potager,jardinier,jardinier,maison,potager,verger,villa,jardinier,terrasse,terrasse,verdoyer,balcon,jardinier,villa,villa,terrasse,tonnelle,verdure,terrasse,parc,allée,maison,potager,potager,verdure,terrasse,potager,maison,maison,verdoyer,fleur,verger,villa,potager,promenade,jardinier,jardinier,verdure,potager,terrasse,verdoyant,terrasse,jardinier,verdure,terrasse,parc,décoration,verdure,verdure,roseraie,fleurir,jardinier,maison,terrasse,potager,jardiner,promenade,promenade,potager,maison,promenade,tonnelle,terrasse,aménager,terrasse,jardinier,maison,jardinet
jardin,cathédrale,fleur,verdure,roseraie,appartement,jardinage,promeneur,jardinière,horticulteur,jardinière,jardinière,jardinière,verdoyant,fleurir,village,plage,plante,verdure,jardiner,musée,nicher,verdure,jardinage,fleurir,parvis,garage,village,jardinier,horticulteur,patio,village,verdoyant,balcon,jardinerie,verdure,maisonnette,jardinerie,verger,standing,feuillage,balcon,ombrager,verdoyer,piscine,jardinier,château,villa,terrasse,tonnelle,verdoyant,pergola,château,château,rue,jardinerie,jardinier,surplomber,attenant,plante,potager,maison,frondaison,joli,parc,rénover,fleurir,balader,jardinage,jardinière,spacieux,jardinage,terrasse,splendeur,hôtel,jardinier,verdoyant,verdoyer,hôtel,meuble,nicher,verdure,maison,flâner,fleurissement,appartement,tonnelle,terrasse,maraîcher,charmant,ballade,fleurir,villa,flâner,courette,ombrager,aménager,jardinet,jardinier,maison,jardinet
rayon,laser,hypermarché,magasin,merchandising,magasin,magasin,cône,courbure,magasin,supermarché,giration,magasin,courbure,supermarché,diamètre,longueur,supermarché,magasin,courbure,carrer,courbure,magasin,courbure,hypermarché,assortiment,supermarché,magasin,courbure,courbure,diamètre,surface,courbure,diamètre,supermarché,vendeur,diamètre,supermarché,sphérique,lumineux,diamètre,magasin,supermarché,faisceau,vendeur,crémerie,distance,ellipsoïde,magasin,jardinerie,diamètre,surface,vendeur,merchandising,kilomètre,magasin,hypermarché,magasin,diamètre,magasin,diamètre,supermarché,kilomètre,kilomètre,courbure,longueur,courbure,magasin,giration,giration,hypermarché,lumineux,supermarché,onde,lumineux,diamètre,supermarché,supermarché,rotation,enseigne,diamètre,lumineux,magasin,diamètre,diamètre,courbure,hypermarché,surface,gondole,droguerie,magasin,supermarché,diamètre,courbure,hypermarché,magasin,lumineux,supermarché,caissier,magasin,soleil
rayon,capteur,solderie,supermarché,détaillant,shopping,épicerie,géométrique,surface,solderie,monoprix,rotation,épicerie,inclinaison,achat,mètre,épaisseur,épicerie,magasin,sphéricité,couche,rectangulaire,magasin,cylindrique,enseigne,grossiste,revendre,vente,sphéricité,concavité,extrémité,millimètre,cylindrique,diamètre,poissonnerie,acheter,diamètre,boulangerie,concentrique,rougeoyant,vertical,acheter,hypermarché,déflexion,enchérir,surgelé,rotation,ellipsoïde,supermarché,boutique,micron,courbure,emplette,boutique,bâtiment,poissonnerie,magasin,vente,densité,crémerie,circonférence,droguerie,station-service,ouest,courbure,latéral,concavité,droguerie,courbure,giration,enseigne,lumineux,hypermarché,souffle,flamme,millimètre,poissonnerie,caissier,axe,client,mètre,intensité,réapprovisionner,diamètre,circonférence,cylindrique,boulangerie,sol,dévaliser,poissonnerie,droguerie,enseigne,millimètre,cylindrique,épicerie,caissier,teinte,solderie,magasin,magasin,couchant
